Country (or dependency),Population (2020)
Afghanistan,39074280
Albania,2877239
Algeria,43984569
American Samoa,55169
Andorra,77287
Angola,33032075
Anguilla,15026
Antigua and Barbuda,98069
Argentina,45267449
Armenia,2964219
Aruba,106845
Australia,25550683
Austria,9015361
Azerbaijan,10154978
Bahamas,393893
Bahrain,1711057
Bangladesh,164972348
Barbados,287437
Belarus,9448772
Belgium,11598451
Belize,398845
Benin,12175480
Bermuda,62237
Bhutan,773069
Bolivia,11700207
Bosnia and Herzegovina,3277152
Botswana,2359585
Brazil,212821986
British Virgin Islands,30266
Brunei,438202
Bulgaria,6939018
Burkina Faso,20997293
Burundi,11948454
Cabo Verde,557026
Cambodia,16758448
Cameroon,26655083
Canada,37799407
Caribbean Netherlands,26265
Cayman Islands,65854
Central African Republic,4843954
Chad,16502877
Channel Islands,174140
Chile,19144605
China,1440297825
Colombia,50976248
Comoros,872695
Congo,5540555
Cook Islands,17567
Costa Rica,5102158
Côte d'Ivoire,26486282
Croatia,4100719
Cuba,11325391
Curaçao,164211
Cyprus,1208886
Czechia,10712481
Denmark,5795780
Djibouti,990447
Dominica,72017
Dominican Republic,10866667
DR Congo,90003954
Ecuador,17688599
Egypt,102659126
El Salvador,6491923
Equatorial Guinea,1410419
Eritrea,3554797
Estonia,1326693
Eswatini,1162233
Ethiopia,115434444
Faeroe Islands,48896
Falkland Islands,3497
Fiji,897573
Finland,5542237
France,65298930
French Guiana,299958
French Polynesia,281191
Gabon,2234448
Gambia,2427782
Georgia,3987805
Germany,83830972
Ghana,31181428
Gibraltar,33689
Greece,10413936
Greenland,56787
Grenada,112614
Guadeloupe,400136
Guam,169031
Guatemala,17971382
Guinea,13191279
Guinea-Bissau,1975718
Guyana,787215
Haiti,11426356
Holy See,801
Honduras,9931333
Hong Kong,7507523
Hungary,9655983
Iceland,341628
India,1382345085
Indonesia,274021604
Iran,84176929
Iraq,40372771
Ireland,4947267
Isle of Man,85112
Israel,8678517
Italy,60446035
Jamaica,2963429
Japan,126407422
Jordan,10220604
Kazakhstan,18815231
Kenya,53968739
Kiribati,119760
Kuwait,4281320
Kyrgyzstan,6542426
Laos,7293542
Latvia,1882408
Lebanon,6819976
Lesotho,2145194
Liberia,5077411
Libya,6887247
Liechtenstein,38147
Lithuania,2715340
Luxembourg,627704
Macao,650846
Madagascar,27808395
Malawi,19211425
Malaysia,32436963
Maldives,542151
Mali,20346106
Malta,441750
Marshall Islands,59259
Martinique,375213
Mauritania,4669775
Mauritius,1272140
Mayotte,273905
Mexico,129166028
Micronesia,115231
Moldova,4032294
Monaco,39290
Mongolia,3287242
Montenegro,628080
Montserrat,4993
Morocco,36985624
Mozambique,31398811
Burma,54473253
Namibia,2548663
Nauru,10836
Nepal,29225196
Netherlands,17141544
New Caledonia,285972
New Zealand,4829021
Nicaragua,6638075
Niger,24346468
Nigeria,206984347
Niue,1628
North Korea,25798588
North Macedonia,2083359
Northern Mariana Islands,57619
Norway,5428594
Oman,5128058
Pakistan,221612785
Palau,18109
Panama,4326296
Papua New Guinea,8975531
Paraguay,7147553
Peru,33050211
Philippines,109830324
Poland,37839255
Portugal,10191409
Puerto Rico,2846860
Qatar,2889284
Réunion,896422
Romania,19214608
Russia,145945524
Rwanda,13005303
Saint Barthelemy,9882
Saint Helena,6080
Saint Kitts & Nevis,53264
Saint Lucia,183774
Saint Martin,38778
Saint Pierre & Miquelon,5789
Samoa,198643
San Marino,33944
Sao Tome & Principe,219844
Saudi Arabia,34905942
Senegal,16816539
Serbia,8731081
Seychelles,98453
Sierra Leone,8004158
Singapore,5858322
Sint Maarten,42960
Slovakia,5460109
Slovenia,2078989
Solomon Islands,689671
Somalia,15965848
South Africa,59436725
"Korea, South",51276977
South Sudan,11216250
Spain,46757980
Sri Lanka,21428970
St. Vincent & Grenadines,111002
State of Palestine,5121112
Sudan,44019263
Suriname,587541
Sweden,10110233
Switzerland,8665615
Syria,17571053
Taiwan*,23824369
Tajikistan,9573310
Tanzania,60012400
Thailand,69830779
Timor-Leste,1322667
Togo,8310934
Tokelau,1360
Tonga,105901
Trinidad and Tobago,1400283
Tunisia,11839918
Turkey,84495243
Turkmenistan,6046292
Turks and Caicos,38806
Tuvalu,11817
U.S. Virgin Islands,104398
Uganda,45974931
Ukraine,43686577
United Arab Emirates,9910892
United Kingdom,67948282
US,331341050
Uruguay,3475842
Uzbekistan,33551824
Vanuatu,308337
Venezuela,28421581
Vietnam,97490013
Wallis & Futuna,11203
Western Sahara,599769
Yemen,29935468
Zambia,18468257
Zimbabwe,14899771
West Bank and Gaza,5790000
Congo (Brazzaville),5381000
Congo (Kinshasa),86790000
Cote d'Ivoire,25720000
Diamond Princess,2674
Kosovo,1873000
MS Zaandam,1837
Saint Kitts and Nevis,52834
Saint Vincent and the Grenadines,110589
Sao Tome and Principe,215056
