,Date,Daily_Brazil_death,Daily_France_death,Daily_US_death,Daily_India_death,Daily_South_Africa_death,Daily_Brazil_recovered,Daily_France_recovered,Daily_US_recovered,Daily_India_recovered,Daily_South_Africa_recovered,Daily_Brazil_confirmed,Daily_France_confirmed,Daily_US_confirmed,Daily_India_confirmed,Daily_South_Africa_confirmed,month,year
0,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
1,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2020
2,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2020
3,2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2020
4,2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
5,2020-01-28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2020
6,2020-01-29,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2020
7,2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2020
8,2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2020
9,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2020
10,2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2020
11,2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,2020
12,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
13,2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
14,2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2020
15,2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
16,2020-02-08,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2020
17,2020-02-09,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2020
18,2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
19,2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2020
20,2020-02-12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2020
21,2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2020
22,2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
23,2020-02-15,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,2,2020
24,2020-02-16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2020
25,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
26,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
27,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
28,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
29,2020-02-21,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2020
30,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
31,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
32,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020
33,2020-02-25,0,0,0,0,0,0,7,1,0,0,0,2,0,0,0,2,2020
34,2020-02-26,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,2,2020
35,2020-02-27,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,2,2020
36,2020-02-28,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,2,2020
37,2020-02-29,0,0,1,0,0,0,1,0,0,0,1,43,8,0,0,2,2020
38,2020-03-01,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,3,2020
39,2020-03-02,0,1,5,0,0,0,0,0,0,0,0,61,23,2,0,3,2020
40,2020-03-03,0,1,1,0,0,0,0,0,0,0,0,21,19,0,0,3,2020
41,2020-03-04,0,0,4,0,0,0,0,0,0,0,2,76,33,23,0,3,2020
42,2020-03-05,0,3,1,0,0,0,0,0,0,0,0,138,77,2,1,3,2020
